Sex,Team,Year,Games,Wins,Losses,Ties,WinPercent
Womens,WBasketball,2025,33,19,14,0,0.576
Womens,WBasketball,2024,26,18,8,0,0.692
Womens,WBasketball,2023,26,18,8,0,0.692
Womens,WBasketball,2022,32,17,15,0,0.531
Womens,WBasketball,2021,33,18,15,0,0.545
Womens,WBasketball,2020,23,9,14,0,0.391
Womens,WBasketball,2019,31,16,15,0,0.516
Womens,WBasketball,2018,32,17,15,0,0.531
Womens,WBasketball,2017,30,12,18,0,0.400
Womens,WBasketball,2016,29,6,23,0,0.207
Womens,WBasketball,2015,27,11,16,0,0.367
Womens,WBasketball,2014,30,5,25,0,0.167
Womens,WFieldHockey,2025,19,10,9,0,0.526
Womens,WFieldHockey,2024,15,7,8,0,0.467
Womens,WFieldHockey,2023,18,7,11,0,0.389
Womens,WFieldHockey,2022,19,4,15,0,0.211
Womens,WFieldHockey,2021,18,4,14,0,0.222
Womens,WFieldHockey,2020,11,4,7,0,0.364
Womens,WFieldHockey,2019,19,3,16,0,0.158
Womens,WFieldHockey,2018,18,5,13,0,0.278
Womens,WFieldHockey,2017,18,2,16,0,0.111
Womens,WFieldHockey,2016,19,6,13,0,0.316
Womens,WFieldHockey,2015,19,8,11,0,0.421
Womens,WFieldHockey,2014,19,3,16,0,0.158
Womens,Wlacrosse,2025,17,12,5,0,0.706
Womens,Wlacrosse,2024,18,11,7,0,0.611
Womens,Wlacrosse,2023,18,12,6,0,0.667
Womens,Wlacrosse,2022,18,13,5,0,0.722
Womens,Wlacrosse,2021,15,11,4,0,0.733
Womens,Wlacrosse,2020,6,2,4,0,0.333
Womens,Wlacrosse,2019,17,8,9,0,0.471
Womens,Wlacrosse,2018,17,8,9,0,0.471
Womens,Wlacrosse,2017,18,8,10,0,0.444
Womens,Wlacrosse,2016,17,8,9,0,0.471
Womens,Wlacrosse,2015,16,6,10,0,0.375
Womens,Wlacrosse,2014,19,12,7,0,0.632
Womens,Wsoccer,2025,17,7,7,3,0.500
Womens,Wsoccer,2024,19,8,8,3,0.500
Womens,Wsoccer,2023,17,4,11,2,0.294
Womens,Wsoccer,2022,20,13,3,4,0.750
Womens,Wsoccer,2021,18,4,10,4,0.333
Womens,Wsoccer,2020,14,7,4,3,0.607
Womens,Wsoccer,2019,19,8,8,3,0.500
Womens,Wsoccer,2018,17,2,14,1,0.147
Womens,Wsoccer,2017,19,2,14,3,0.184
Womens,Wsoccer,2016,19,5,13,1,0.289
Womens,Wsoccer,2015,19,7,12,0,0.368
Womens,Wsoccer,2014,19,5,12,2,0.316
Mens,MBaseball,2025,56,27,29,0,0.482
Mens,MBaseball,2024,52,24,28,0,0.462
Mens,MBaseball,2023,54,30,24,0,0.556
Mens,MBaseball,2022,56,43,13,0,0.768
Mens,MBaseball,2021,51,27,24,0,0.529
Mens,MBaseball,2020,16,13,3,0,0.812
Mens,MBaseball,2019,51,29,22,0,0.569
Mens,MBaseball,2018,54,33,21,0,0.611
Mens,MBaseball,2017,61,35,26,0,0.574
Mens,MBaseball,2016,54,28,26,0,0.519
Mens,MBaseball,2015,50,28,22,0,0.560
Mens,MBaseball,2014,48,29,19,0,0.604
Mens,Mbasketball,2025,33,17,16,0,0.515
Mens,Mbasketball,2024,32,15,17,0,0.469
Mens,Mbasketball,2023,32,15,17,0,0.469
Mens,Mbasketball,2022,32,16,16,0,0.500
Mens,Mbasketball,2021,34,27,7,0,0.794
Mens,Mbasketball,2020,22,13,9,0,0.591
Mens,Mbasketball,2019,30,16,14,0,0.533
Mens,Mbasketball,2018,34,24,10,0,0.706
Mens,Mbasketball,2017,33,21,12,0,0.636
Mens,Mbasketball,2016,32,17,15,0,0.531
Mens,Mbasketball,2015,33,20,13,0,0.606
Mens,Mbasketball,2014,32,24,8,0,0.750
Mens,Mfootball,2025,12,2,10,0,0.167
Mens,Mfootball,2024,11,6,5,0,0.545
Mens,Mfootball,2023,11,7,4,0,0.636
Mens,Mfootball,2022,12,8,4,0,0.667
Mens,Mfootball,2021,11,8,3,0,0.727
Mens,Mfootball,2020,7,4,3,0,0.571
Mens,Mfootball,2019,12,8,4,0,0.667
Mens,Mfootball,2018,11,6,5,0,0.545
Mens,Mfootball,2017,11,2,9,0,0.182
Mens,Mfootball,2016,11,2,9,0,0.182
Mens,Mfootball,2015,11,2,9,0,0.182
Mens,Mfootball,2014,12,1,11,0,0.083
Mens,MSoccer,2025,19,9,7,3,0.553
Mens,MSoccer,2024,18,6,7,5,0.472
Mens,MSoccer,2023,16,10,5,1,0.656
Mens,MSoccer,2022,17,6,8,3,0.441
Mens,MSoccer,2021,18,9,7,2,0.556
Mens,MSoccer,2020,9,3,4,2,0.444
Mens,MSoccer,2019,17,4,11,2,0.294
Mens,MSoccer,2018,18,9,7,2,0.556
Mens,MSoccer,2017,17,8,7,2,0.529
Mens,MSoccer,2016,17,4,12,1,0.265
Mens,MSoccer,2015,18,5,10,3,0.361
Mens,MSoccer,2014,18,10,2,6,0.722
